X,Y,OBJECTID,ID,TYPE,SOURCE,LATITUDE,LONGITUDE,DATETIME,AUTOACKNOWLEDGED,INDC,GIS_ID,GLOBALID,CREATOR,CREATED,EDITOR,EDITED
-76.9709999994848,38.8489999984337,62469,7D182411,Multiple_Gunshots,WashingtonDC7D,38.849,-76.971,2016/01/28 01:56:09+00,,,ShotSpotter_62469,{B790BBC8-EAD0-4AED-ABCE-FCD07FB5B289},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:09:01+00
-76.9709999994848,38.8489999984337,62470,7D182412,Multiple_Gunshots,WashingtonDC7D,38.849,-76.971,2016/01/28 01:56:12+00,,,ShotSpotter_62470,{2DCE9E64-DB63-4C69-BCF0-0372E242F92F},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:10:09+00
-76.9950000050061,38.8340000006296,62471,7D182413,Multiple_Gunshots,WashingtonDC7D,38.834,-76.995,2016/01/28 03:34:09+00,,,ShotSpotter_62471,{11928031-BC59-485A-B392-5B3E4EE6B3E9},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:10:09+00
-76.9779999963131,38.8399999999804,62472,7D182414,Single_Gunshot,WashingtonDC7D,38.84,-76.978,2016/01/28 04:02:55+00,,,ShotSpotter_62472,{93247007-AAED-4443-8CAF-8ADE81F08A3C},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:09:28+00
-77.001999996182,38.8269999990647,62473,7D182415,Multiple_Gunshots,WashingtonDC7D,38.827,-77.002,2016/01/28 04:08:26+00,,,ShotSpotter_62473,{A1F22007-CFB8-4A79-9920-C715B624382E},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:09:57+00
-77.0030000006101,38.8270000046505,62474,7D182417,Gunshot_or_Firecracker,WashingtonDC7D,38.827,-77.003,2016/01/28 04:09:07+00,,,ShotSpotter_62474,{8A945C3E-05CE-47B3-BA55-682C9CBA3FA0},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:08:46+00
-76.9750000013659,38.8500000043847,62475,7D182418,Multiple_Gunshots,WashingtonDC7D,38.85,-76.975,2016/01/28 04:59:17+00,,,ShotSpotter_62475,{1787A741-181D-452F-B9EA-39AA03C29B22},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:08:34+00
-76.9999999993337,38.8440000046108,62476,7D182419,Multiple_Gunshots,WashingtonDC7D,38.844,-77,2016/01/28 05:01:40+00,,,ShotSpotter_62476,{7D7608DE-E39B-425A-A971-639B51A19BF9},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:09:49+00
-76.9919999941218,38.8440000008709,62477,7D182420,Multiple_Gunshots,WashingtonDC7D,38.844,-76.992,2016/01/28 05:27:34+00,,,ShotSpotter_62477,{CE5194C0-ABEC-490E-B086-615AC95B5B31},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:09:35+00
-76.9920000013495,38.8390000048267,62478,7D182421,Single_Gunshot,WashingtonDC7D,38.839,-76.992,2016/01/28 06:28:49+00,,,ShotSpotter_62478,{1DA26CD1-DBDB-49C6-8884-A7EAE8A1D8C6},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:09:16+00
-76.9759999971701,38.8980000035112,62479,1D74948,Single_Gunshot,WashingtonDC1D,38.898,-76.976,2016/01/28 06:57:28+00,,,ShotSpotter_62479,{A1326460-1F25-4542-BEAE-CEBD014948D1},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:09:22+00
-76.9759999971701,38.8980000035112,62480,1D74949,Single_Gunshot,WashingtonDC1D,38.898,-76.976,2016/01/28 06:57:36+00,,,ShotSpotter_62480,{86932E16-ECBB-41DF-A548-65465242F0A2},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:09:22+00
-77.0239999950242,38.9309999996228,62481,3D51985,Multiple_Gunshots,WashingtonDC3D,38.931,-77.024,2015/07/31 01:25:36+00,,,ShotSpotter_62481,{44DD629F-91F5-4856-9AC9-5034EDF1E214},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:10:09+00
-77.0239999950242,38.9309999996228,62482,4D47606,Multiple_Gunshots,WashingtonDC4D,38.931,-77.024,2015/07/31 01:25:39+00,,,ShotSpotter_62482,{81A86202-AFDB-4F1B-BE49-12198B907DEE},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:09:40+00
-76.9699999939071,38.8560000018712,62483,7D181103,Multiple_Gunshots,WashingtonDC7D,38.856,-76.97,2015/11/28 02:10:21+00,,,ShotSpotter_62483,{1FA9D7CF-2309-4FCC-B83A-E91077D6F2F9},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:08:59+00
-77.0230000027649,38.913000001145,62484,3D52827,Multiple_Gunshots,WashingtonDC3D,38.913,-77.023,2015/11/28 03:56:52+00,,,ShotSpotter_62484,{040EA7DB-C88E-4B02-BC06-A6397C6266D1},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:09:11+00
-77.014000003431,38.9399999996954,62485,4D48365,Multiple_Gunshots,WashingtonDC4D,38.94,-77.014,2015/11/28 03:57:01+00,,,ShotSpotter_62485,{B722F7A0-6072-4090-B7A9-4F62DC910928},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:09:49+00
-76.9940000023099,38.8590000033442,62486,7D181106,Single_Gunshot,WashingtonDC7D,38.859,-76.994,2015/11/28 05:09:22+00,,,ShotSpotter_62486,{86B43449-2700-4E53-8431-A8CE6343D945},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:09:41+00
-76.9929999963065,38.8300000048466,62487,7D181107,Multiple_Gunshots,WashingtonDC7D,38.83,-76.993,2015/11/28 06:46:35+00,,,ShotSpotter_62487,{0DF697DF-155E-4AFC-8402-EDB1FA929873},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:10:01+00
-76.946000001571,38.880999997405,62488,6D147635,Single_Gunshot,WashingtonDC6D,38.881,-76.946,2015/11/28 07:30:47+00,,,ShotSpotter_62488,{70C269A5-E728-439B-97A8-F3D6EE4160C0},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:09:20+00
-76.9500000026962,38.9050000023469,62489,6D147637,Single_Gunshot,WashingtonDC6D,38.905,-76.95,2015/11/28 08:18:23+00,,,ShotSpotter_62489,{D7FD8414-67C7-4853-A710-1E1B124562B6},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:09:24+00
-76.9889999946516,38.8220000019536,62490,7D181110,Multiple_Gunshots,WashingtonDC7D,38.822,-76.989,2015/11/28 09:06:49+00,,,ShotSpotter_62490,{745F0F89-8572-433B-AB38-906642756277},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:09:33+00
-76.9769999964488,38.8460000011909,62491,7D181111,Single_Gunshot,WashingtonDC7D,38.846,-76.977,2015/11/28 09:24:49+00,,,ShotSpotter_62491,{AFBB4813-CAD7-4A6C-ADCC-41811CCACC63},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:09:07+00
